scene_id,speaker,text,emotion
2790,Monica,"Oh my god, did you guys hear about Rachel and Joey's brief relationship?",fear
2790,Joey,What? No way! I had no idea she felt that way about me.,surprise
2790,Rachel,"Guys, it was just a silly mistake. We were both tipsy, and it just happened.",joy
2790,Chandler,"Ugh, Joey, you're so stupid. You could've gotten in trouble for that.",anger
2790,Phoebe,"Okay, let's not freak out. It's not a big deal. It was just a moment of weakness.",neutral
2790,Ross,"You know, I'm just happy to see you guys getting along again. And Rachel, you're still off-limits, Joey.",joy
8606,Monica,"Oh no, Joey, I'm worried about your acting career. You're going to end up waiting tables forever!",fear
8606,Joey,"What's wrong with waiting tables? It's a great job! And hey, I just landed a role in that new TV show.",fear
8606,Rachel,"That's amazing news, Joey! I'm so happy for you! We should celebrate tonight.",joy
8606,Chandler,"Yeah, because nothing says'success' like a TV show that's going to be cancelled in three episodes.",neutral
8606,Joey,"Shut up, Chandler! You're just jealous because you're not a talented actor like me.",fear
8606,Phoebe,"Hey, hey, let's not fight. Joey, you're going to do great. And Chandler, don't be so negative.",neutral
9798,Rachel,"Guys, I'm so nervous about the trivia game tonight. What if we don't win?",fear
9798,Monica,"Don't worry, Rachel! We're going to crush it! I've been studying all week. Can you believe it's been 10 years since we moved into this apartment?",joy
9798,Chandler,"Yeah, and I've been preparing my'smart' questions. Let's just hope Joey doesn't get too distracted by the snacks.",neutral
9798,Monica,"Oh, come on! We're all going to have a blast! Who's bringing the prizes for the winners?",joy
9798,Ross,"I think I'm bringing some nice bottles of wine. But, guys, let's not get too competitive. It's just for fun.",neutral
9798,Rachel,"Okay, okaybut what if we lose? What if we get stuck with the worst prize?",fear
2083,Chandler,"Oh no, they're going to show the prom video from high school. I'm so nervous I'm going to throw up.",fear
2083,Joey,"Whoa, this is gonna be awesome! I'm so excited to see what kind of crazy outfits we wore back then.",joy
2083,Monica,I'm so happy we're doing this! It's gonna be a blast from the past.,joy
2083,Rachel,"Ugh, do we have to watch this? It's so embarrassing. That haircut I hadugh.",disgust
2083,Phoebe,"Yeah, and don't even get me started on that ridiculous limousine ride.",disgust
2083,Ross,You know what? This is actually kind of cool. I'm having fun reminiscing about old times.,joy
7620,Monica,"Oh no, the super's been threatening to evict us if we don't fix that leaky pipe in the bathroom.",fear
7620,Joey,What's the big deal? It's just a little water.,neutral
7620,Rachel,"Joey, it's not just a little water! It's a health hazard! And Monica's right, the super's not going to let it slide.",anger
7620,Chandler,"Well, maybe we can just pretend it's not a big deal and hope the super doesn't notice.",neutral
7620,Phoebe,"I'm so sorry, guys. I just found out I'm behind on my rent too. I don't know how I'm going to make it up.",sadness
7620,Monica,"Oh, Phoebe, I'm so sorry. But we'll figure something out. We always do.",sadness
7620,Ross,"Ugh, this is disgusting. I just saw a cockroach in the kitchen.",disgust
4153,Rachel,"Oh my god, Phoebe, I just saw the ultrasound pictures of the triplets and I'm freaking out! What if something goes wrong?",fear
4153,Phoebe,"Honey, don't worry, everything's going to be fine. I've been doing my research, and I've got a great team of doctors looking after me. We're going to be just fine!",joy
4153,Monica,"Yay, Phoebe's triplets! Can we get a baby shower planned? We have to celebrate!",joy
4153,Chandler,"Wait, what's the plan for naming them? Are we going to have a theme? Like, 'Triple Trouble'?",surprise
4153,Joey,"Aww, Phoebe's going to be an amazing mom. I just know those babies are going to love her",sadness
4153,Ross,"Hey, hey, let's not get too sentimental here. We've got a lot of work to do to get those babies ready for the world. Who's up for a baby prep party?",joy
8940,Monica,"Oh no, Ross is going to ruin Emma's birthday with his dinosaur lecture!",fear
8940,Chandler,"Come on, Monica, it's not that bad. Ross is actually pretty good at this stuff.",anger
8940,Joey,"Yeah, and he's got those cool dinosaur toys to show us. Can't wait!",anger
8940,Phoebe,"I don't know, guys. I'm still a little worried about Ross's dinosaur obsession. It's creepy.",anger
8940,Rachel,"Okay, okay, let's just calm down. It's just a birthday party. I'm sure Ross will be fine.",neutral
8940,Ross,"And now, class, let's talk about the mighty T-Rex! Who wants to see a T-Rex toy?",joy
2362,Monica,"Oh no, I just saw Joey and Chandler's new chick and duck on the coffee table, and I'm freaking out!",fear
2362,Rachel,"What's the big deal, Monica? It's just a few animals",anger
2362,Joey,"Hey, hey! Don't yell at my chick and duck! They're my babies!",surprise
2362,Chandler,"Yeah, and they're quite the handful. But we're handling it, Joey. Calm down",neutral
2362,Phoebe,"Wait, I just saw a duck swimming in the coffee cup! This is insane!",surprise
2362,Monica,I knew this was going to end badly. Now the coffee table is covered in feathers and poop,sadness
3818,Monica,"Oh no, Chandler's moving to Tulsa? How are we going to survive without our sarcastic friend?",fear
3818,Monica,And what about Thanksgiving? Who's going to make the turkey now?,fear
3818,Joey,Are you kidding me? This is the worst news I've ever heard! How could Chandler do this to us?,anger
3818,Joey,"I mean, what about all the memories we made together? This is like a betrayal!",anger
3818,Chandler,"Hey, hey, guys, calm down. It's not a big deal. I'm just getting a new job opportunity and I'll be back to visit all the time.",anger
